reportType,timestamp,reportedBy,currentSpeed_kmh,ambientLight,wearableDeviceBPM,latitude,longitude
Object Blockage,2024-07-27T00:16:44.850532,user1173,15.512464454079673,26200.091489875744,0,53.8371646521055,-118.59770393936579
Car Crash,2024-07-26T04:05:35.594781,user4094,57.659817726572996,1924.2862054532584,107,53.990021175448994,-118.54141341478783
Car Crash,2024-07-26T07:50:48.007705,user1018,43.521364415561415,26804.381988587345,0,53.99827024026903,-118.5628400930181
Object Blockage,2024-07-26T19:07:51.999276,user4834,14.774499317315026,68.27203916328494,0,53.98974638307963,-118.54289358139876
Wildfire Zones,2024-07-27T00:41:07.948819,user4329,21.858720877320295,934.7376842312393,0,53.84189490291883,-118.65712966396137
Slow Area,2024-07-27T18:22:09.726920,user2394,4.852939662701531,1661.0672953675853,129,53.818374386847246,-118.5709355660096
Low Visibility,2024-07-27T07:02:22.196246,user1381,16.879034270252156,184.1987785543344,0,53.96746196539645,-118.69984958908164
Object Blockage,2024-07-27T06:48:43.692743,user4523,3.482496309549324,974.5514281967328,111,53.990200047306786,-118.61423486795178
Wildfire Zones,2024-07-27T16:29:16.249682,user4107,25.765876094044806,1569.006975136218,75,53.94102382808048,-118.63022524699691
Car Crash,2024-07-27T02:12:19.741103,user1216,58.72595013429314,1774.8651433266405,0,53.93842073235864,-118.65286226997225
Object Blockage,2024-07-27T17:37:20.826175,user611,24.428834948220018,13974.421008134424,0,53.91620168240755,-118.64407348625446
Car Crash,2024-07-27T22:34:40.295493,user4445,6.020917821244965,28211.49325371879,129,53.949232297382146,-118.59883183717811
Car Crash,2024-07-26T17:50:25.561081,user3407,111.43815217866205,804.1335871465445,0,53.82049351685542,-118.60544305023137
Safe Zones,2024-07-27T21:43:38.159498,user1839,127.28264514578053,1060.8025582381565,0,53.80067625611829,-118.63214645081321
Shelter,2024-07-27T11:26:30.713483,user3417,95.54920156671483,8328.626144593656,0,53.98418363006927,-118.68694568876037
Safe Zones,2024-07-27T04:31:40.804573,user2268,29.02731124310469,29039.39636597174,0,53.94078582067407,-118.5156463274031
Shelter,2024-07-27T20:40:29.095113,user1043,28.217436559318784,155.2406532773475,0,48.914063254975424,-111.12460327297083
Low Visibility,2024-07-27T19:15:40.729460,user196,8.247832754243767,1758.5324061076947,166,53.994553460482834,-118.63071241516023
Low Visibility,2024-07-27T21:25:12.379750,user4406,120.4487846970451,1855.3367377017826,150,53.96690938388566,-118.62109687328308
Slow Area,2024-07-26T01:11:31.012400,user4375,7.267356250607833,7505.5287114173325,121,53.91491309959608,-118.50757088511605
Wildfire Zones,2024-07-26T12:50:50.606273,user4244,123.35696811825798,10301.05484881916,166,59.036610211205456,-117.54307507028042
Slow Area,2024-07-26T15:23:09.310298,user4123,114.14605408281886,2678.194950952116,0,53.91155568184765,-118.58286449940027
Slow Area,2024-07-26T10:02:14.025929,user524,27.59178892189692,1473.139995584348,103,53.85603642321481,-118.64781041711686
Car Crash,2024-07-27T13:54:06.326280,user1914,6.238851777023849,6147.233289293683,0,53.94611718485445,-118.52111107297578
No Gas,2024-07-26T03:59:36.143399,user4571,57.796868013972606,1411.2300915582591,0,53.96184954348934,-118.5602885306789
First Responders,2024-07-27T12:29:35.816559,user3468,50.77423016441665,1086.0318024008789,0,53.90669243230365,-118.69676212312433
Object Blockage,2024-07-26T19:00:51.202840,user3509,59.67524160431214,6653.411742058621,0,53.947987453331756,-118.51807802767514
Wildfire Zones,2024-07-27T06:30:16.556486,user911,25.136325586198208,1945.3335119335738,0,53.82634602510095,-118.60188919437047
Low Visibility,2024-07-27T10:37:54.030741,user770,52.69359083660257,28136.161039148654,0,53.888249397888266,-118.55761387980608
Object Blockage,2024-07-27T07:24:09.035903,user4327,7.022951134109245,1391.2622302823124,79,53.942268373310384,-118.60821013006989
Wildfire Zones,2024-07-26T04:23:44.893204,user3965,137.78972693640176,359.6194752957845,0,53.89593858777672,-118.67487358016459
First Responders,2024-07-26T15:39:42.760260,user4608,120.78952256095833,1869.583821929939,102,53.95818960650258,-118.61510853675827
Slow Area,2024-07-27T08:41:18.288985,user1254,54.819005613613676,1144.6276529688057,0,54.49867678253328,-118.33283242265979
Shelter,2024-07-26T21:16:40.877874,user783,0.9386782436911667,1314.75765933089,0,53.82341741832258,-118.64015467382593
Shelter,2024-07-27T09:03:11.679502,user3597,131.9671936381546,15433.711198466495,136,53.90531089899903,-118.50408799009416
Car Crash,2024-07-26T12:37:25.307456,user4213,84.79377105712602,1934.7673187697683,0,53.82526941573765,-118.60550486794271
First Responders,2024-07-27T02:48:36.627264,user2194,26.625142254950347,115.93669491401559,139,53.9911461469629,-118.58734950992411
Safe Zones,2024-07-27T21:37:33.256701,user547,30.780699832398227,1644.100835290919,158,53.80787049261191,-118.63614381992822
Low Visibility,2024-07-27T19:15:58.487940,user694,21.73616252669924,1565.7145747829236,144,53.898112273842266,-118.6935323988987
Object Blockage,2024-07-26T09:59:33.781218,user3969,15.44109492691576,26762.48161446382,136,53.86750392467991,-118.5664001124868
First Responders,2024-07-26T22:25:25.922174,user871,12.11346608342066,602.872712872995,0,53.831752814540934,-118.66481677066955
Car Crash,2024-07-27T17:18:55.099657,user254,26.452164758924003,1755.7685749987731,177,48.12157119467006,-119.55588368395252
No Gas,2024-07-27T18:21:33.320369,user256,8.771740380487438,327.2161835397962,0,53.806561725448546,-118.59138531598789
Car Crash,2024-07-27T13:40:23.456641,user242,14.99481087708212,15262.378541641981,0,53.82637768095056,-118.57160715410886
Car Crash,2024-07-27T12:57:41.050219,user1869,60.200903266984604,1693.9864543052142,162,53.84956799109912,-118.56232895391375
Wildfire Zones,2024-07-27T09:26:54.710946,user1325,51.4587722447734,23.77932766217794,0,53.930480305129855,-118.5533486222205
Shelter,2024-07-27T16:37:05.837242,user3348,28.845085457831853,423.28798032538174,0,53.949408175169786,-118.51308217163503
Safe Zones,2024-07-26T10:54:44.416168,user3978,122.63098399486302,282.2817273363807,0,53.86098157308484,-118.5936462639581
Low Visibility,2024-07-27T16:02:07.456202,user4294,141.51330024340677,1029.8306232326772,0,53.80856590334645,-118.65765071067985
Car Crash,2024-07-27T11:26:31.780087,user4297,13.991726672747241,993.2791768762735,88,53.97785670497112,-118.59214692431236
No Gas,2024-07-27T14:12:53.906236,user178,7.509274951709442,970.2811811902324,0,53.89852971256534,-118.50072759660421
No Gas,2024-07-26T14:12:30.023375,user2112,13.956340324771904,1987.7707770106867,127,53.90241902244277,-118.61727218104463
Safe Zones,2024-07-27T09:44:56.205444,user2354,6.56522412041353,1333.4629773706145,0,53.89425326299292,-118.67429661534968
First Responders,2024-07-27T05:49:29.959374,user552,50.554254240547095,1209.0018214793301,0,53.901931274329336,-118.69351667581418
Shelter,2024-07-26T20:49:25.286889,user20,142.11104320221642,1895.53017541075,0,54.5678216238305,-114.40912780850894
Low Visibility,2024-07-26T00:36:14.593749,user2108,27.308432363826967,508.71728465157537,0,53.80230495708176,-118.68645164277835
Slow Area,2024-07-26T09:23:53.993635,user4174,79.52982933963736,695.1898425063297,0,53.90394074090346,-118.60576064116859
Shelter,2024-07-26T04:50:32.215994,user2173,3.664955312264534,5610.723255943848,0,53.92420220566757,-115.09577774324376
Car Crash,2024-07-26T19:42:14.785013,user4794,13.549325348731658,21419.93086749675,80,53.935607506632685,-118.53131187207906
Slow Area,2024-07-27T12:21:49.382443,user3093,103.93099704012977,4599.181454397078,0,53.83133220157221,-118.65846904017674
